Sample	Description	Animal	Exposure	Concentration	Cage
1	Fecal DNA from mouse	1	Vehicle	0%	1
2	Fecal DNA from mouse	2	Vehicle	0%	1
3	Fecal DNA from mouse	3	Vehicle	0%	1
4	Fecal DNA from mouse	4	Vehicle	0%	2
5	Fecal DNA from mouse	5	Vehicle	0%	2
6	Fecal DNA from mouse	6	Vehicle	0%	2
7	Fecal DNA from mouse	7	BAC	1%	3
8	Fecal DNA from mouse	8	BAC	1%	3
9	Fecal DNA from mouse	9	BAC	1%	3
10	Fecal DNA from mouse	10	BAC	1%	4
11	Fecal DNA from mouse	11	BAC	1%	4
12	Fecal DNA from mouse	12	BAC	1%	4
13	Fecal DNA from mouse	13	DDAC	0.25%	5
14	Fecal DNA from mouse	14	DDAC	0.25%	5
15	Fecal DNA from mouse	15	DDAC	0.25%	5
16	Fecal DNA from mouse	16	DDAC	0.25%	6
17	Fecal DNA from mouse	17	DDAC	0.25%	6
18	Fecal DNA from mouse	18	DDAC	0.25%	6
19	Fecal DNA from mouse	19	OPA	0.50%	7
20	Fecal DNA from mouse	20	OPA	0.50%	7
21	Fecal DNA from mouse	21	OPA	0.50%	7
22	Fecal DNA from mouse	22	OPA	0.50%	8
23	Fecal DNA from mouse	23	OPA	0.50%	8
24	Fecal DNA from mouse	24	OPA	0.50%	8
25	Fecal DNA from mouse	25	TCS	2%	9
26	Fecal DNA from mouse	26	TCS	2%	9
27	Fecal DNA from mouse	27	TCS	2%	9
28	Fecal DNA from mouse	28	TCS	2%	10
29	Fecal DNA from mouse	29	TCS	2%	10
30	Fecal DNA from mouse	30	TCS	2%	10
